,x_location,y_location,predicted_rank
1349,280000,30000,0
1350,280000,40000,0
1351,280000,50000,0
1352,280000,60000,0
1353,280000,70000,0
1354,280000,80000,0
1355,280000,90000,0
1356,280000,100000,0
1357,280000,110000,0
1358,280000,120000,0
1359,280000,130000,0
1360,280000,140000,0
1361,280000,150000,0
1362,280000,160000,0
1363,280000,170000,0
1364,280000,180000,0
1365,280000,190000,0
1366,280000,200000,0
1367,280000,210000,0
1368,280000,220000,0
1420,290000,30000,0
1421,290000,40000,0
1422,290000,50000,0
1423,290000,60000,0
1424,290000,70000,0
1425,290000,80000,0
1426,290000,90000,0
1427,290000,100000,0
1428,290000,110000,0
1429,290000,120000,0
1430,290000,130000,0
1431,290000,140000,0
1432,290000,150000,0
1433,290000,160000,0
1434,290000,170000,0
1435,290000,180000,0
1436,290000,190000,0
1437,290000,200000,0
1438,290000,210000,0
1491,300000,30000,0
1492,300000,40000,0
1493,300000,50000,0
1494,300000,60000,0
1495,300000,70000,0
1496,300000,80000,0
1497,300000,90000,0
1498,300000,100000,0
1499,300000,110000,0
1500,300000,120000,0
1501,300000,130000,0
1502,300000,140000,0
1503,300000,150000,0
1504,300000,160000,0
1505,300000,170000,0
1506,300000,180000,0
1507,300000,190000,0
1508,300000,200000,0
1509,300000,210000,0
1562,310000,30000,0
1563,310000,40000,0
1564,310000,50000,0
1565,310000,60000,0
1566,310000,70000,0
1567,310000,80000,0
1568,310000,90000,0
1569,310000,100000,0
1570,310000,110000,0
1571,310000,120000,0
1572,310000,130000,0
1573,310000,140000,0
1574,310000,150000,0
1575,310000,160000,0
1576,310000,170000,0
1577,310000,180000,0
1578,310000,190000,0
1579,310000,200000,0
1580,310000,210000,0
1605,310000,460000,0
1633,320000,30000,0
1634,320000,40000,0
1635,320000,50000,0
1636,320000,60000,0
1637,320000,70000,0
1638,320000,80000,0
1639,320000,90000,0
1640,320000,100000,0
1641,320000,110000,0
1642,320000,120000,0
1643,320000,130000,0
1644,320000,140000,0
1645,320000,150000,0
1646,320000,160000,0
1647,320000,170000,0
1648,320000,180000,0
1649,320000,190000,0
1650,320000,200000,0
1677,320000,470000,0
1704,330000,30000,0
1705,330000,40000,0
1706,330000,50000,0
1707,330000,60000,0
1708,330000,70000,0
1709,330000,80000,0
1710,330000,90000,0
1711,330000,100000,0
1712,330000,110000,0
1713,330000,120000,0
1714,330000,130000,0
1715,330000,140000,0
1716,330000,150000,0
1717,330000,160000,0
1718,330000,170000,0
1719,330000,180000,0
1720,330000,190000,0
1724,330000,230000,0
1725,330000,240000,0
1726,330000,250000,0
1779,340000,70000,0
1780,340000,80000,0
1781,340000,90000,0
1782,340000,100000,0
1783,340000,110000,0
1784,340000,120000,0
1785,340000,130000,0
1786,340000,140000,0
1787,340000,150000,0
1788,340000,160000,0
1789,340000,170000,0
1791,340000,190000,0
1794,340000,220000,0
1797,340000,250000,0
1798,340000,260000,0
1855,350000,120000,0
1856,350000,130000,0
1857,350000,140000,0
1858,350000,150000,0
1859,350000,160000,0
1868,350000,250000,0
1935,360000,210000,0
1936,360000,220000,0
2007,370000,220000,0
