,x_location,y_location,predicted_rank
2295,360000,260000,0
2296,360000,270000,0
2297,360000,280000,0
2298,360000,290000,0
2299,360000,300000,0
2300,360000,310000,0
2301,360000,320000,0
2302,360000,330000,0
2303,360000,340000,0
2304,360000,350000,0
2305,360000,360000,0
2306,360000,370000,0
2307,360000,380000,0
2315,360000,460000,0
2316,360000,470000,0
2317,360000,480000,0
2318,360000,490000,0
2319,360000,500000,0
2320,360000,510000,0
2321,360000,520000,0
2322,360000,530000,0
2323,360000,540000,0
2364,370000,240000,0
2365,370000,250000,0
2366,370000,260000,0
2367,370000,270000,0
2368,370000,280000,0
2369,370000,290000,0
2370,370000,300000,0
2371,370000,310000,0
2372,370000,320000,0
2373,370000,330000,0
2374,370000,340000,0
2375,370000,350000,0
2376,370000,360000,0
2377,370000,370000,0
2378,370000,380000,0
2386,370000,460000,0
2387,370000,470000,0
2388,370000,480000,0
2389,370000,490000,0
2390,370000,500000,0
2391,370000,510000,0
2392,370000,520000,0
2393,370000,530000,0
2394,370000,540000,0
2435,380000,240000,0
2436,380000,250000,0
2437,380000,260000,0
2438,380000,270000,0
2439,380000,280000,0
2440,380000,290000,0
2441,380000,300000,0
2442,380000,310000,0
2443,380000,320000,0
2444,380000,330000,0
2445,380000,340000,0
2446,380000,350000,0
2447,380000,360000,0
2448,380000,370000,0
2449,380000,380000,0
2450,380000,390000,0
2457,380000,460000,0
2458,380000,470000,0
2459,380000,480000,0
2460,380000,490000,0
2461,380000,500000,0
2462,380000,510000,0
2464,380000,530000,0
2465,380000,540000,0
2506,390000,240000,0
2507,390000,250000,0
2508,390000,260000,0
2509,390000,270000,0
2510,390000,280000,0
2511,390000,290000,0
2512,390000,300000,0
2513,390000,310000,0
2514,390000,320000,0
2515,390000,330000,0
2516,390000,340000,0
2517,390000,350000,0
2518,390000,360000,0
2519,390000,370000,0
2520,390000,380000,0
2521,390000,390000,0
2527,390000,450000,0
2528,390000,460000,0
2529,390000,470000,0
2530,390000,480000,0
2531,390000,490000,0
2532,390000,500000,0
2533,390000,510000,0
2535,390000,530000,0
2536,390000,540000,0
2537,390000,550000,0
2577,400000,240000,0
2578,400000,250000,0
2579,400000,260000,0
2580,400000,270000,0
2581,400000,280000,0
2582,400000,290000,0
2583,400000,300000,0
2584,400000,310000,0
2585,400000,320000,0
2586,400000,330000,0
2587,400000,340000,0
2588,400000,350000,0
2589,400000,360000,0
2590,400000,370000,0
2591,400000,380000,0
2592,400000,390000,0
2598,400000,450000,0
2599,400000,460000,0
2600,400000,470000,0
2601,400000,480000,0
2602,400000,490000,0
2603,400000,500000,0
2604,400000,510000,0
2606,400000,530000,0
2608,400000,550000,0
2647,410000,230000,0
2648,410000,240000,0
2649,410000,250000,0
2650,410000,260000,0
2651,410000,270000,0
2652,410000,280000,0
2653,410000,290000,0
2654,410000,300000,0
2655,410000,310000,0
2656,410000,320000,0
2657,410000,330000,0
2658,410000,340000,0
2659,410000,350000,0
2660,410000,360000,0
2661,410000,370000,0
2662,410000,380000,0
2663,410000,390000,0
2668,410000,440000,0
2669,410000,450000,0
2670,410000,460000,0
2671,410000,470000,0
2672,410000,480000,0
2673,410000,490000,0
2674,410000,500000,0
2675,410000,510000,0
2676,410000,520000,0
2677,410000,530000,0
2718,420000,230000,0
2719,420000,240000,0
2720,420000,250000,0
2721,420000,260000,0
2724,420000,290000,0
2725,420000,300000,0
2726,420000,310000,0
2727,420000,320000,0
2728,420000,330000,0
2729,420000,340000,0
2730,420000,350000,0
2731,420000,360000,0
2732,420000,370000,0
2733,420000,380000,0
2734,420000,390000,0
2740,420000,450000,0
2741,420000,460000,0
2742,420000,470000,0
2743,420000,480000,0
2744,420000,490000,0
2745,420000,500000,0
2746,420000,510000,0
2747,420000,520000,0
2748,420000,530000,0
2790,430000,240000,0
2791,430000,250000,0
2792,430000,260000,0
2796,430000,300000,0
2797,430000,310000,0
2798,430000,320000,0
2799,430000,330000,0
2800,430000,340000,0
2802,430000,360000,0
2803,430000,370000,0
2804,430000,380000,0
2805,430000,390000,0
2806,430000,400000,0
2810,430000,440000,0
2811,430000,450000,0
2812,430000,460000,0
2813,430000,470000,0
2814,430000,480000,0
2815,430000,490000,0
2816,430000,500000,0
2817,430000,510000,0
2818,430000,520000,0
2819,430000,530000,0
2820,430000,540000,0
2866,440000,290000,0
2867,440000,300000,0
2868,440000,310000,0
2869,440000,320000,0
2870,440000,330000,0
2871,440000,340000,0
2873,440000,360000,0
2874,440000,370000,0
2875,440000,380000,0
2876,440000,390000,0
2880,440000,430000,0
2881,440000,440000,0
2882,440000,450000,0
2883,440000,460000,0
2884,440000,470000,0
2885,440000,480000,0
2886,440000,490000,0
2887,440000,500000,0
2888,440000,510000,0
2889,440000,520000,0
2890,440000,530000,0
2891,440000,540000,0
2936,450000,280000,0
2937,450000,290000,0
2938,450000,300000,0
2939,450000,310000,0
2940,450000,320000,0
2941,450000,330000,0
2942,450000,340000,0
2943,450000,350000,0
2944,450000,360000,0
2947,450000,390000,0
2948,450000,400000,0
2951,450000,430000,0
2952,450000,440000,0
2953,450000,450000,0
2954,450000,460000,0
2955,450000,470000,0
2956,450000,480000,0
2957,450000,490000,0
2958,450000,500000,0
2960,450000,520000,0
2961,450000,530000,0
2962,450000,540000,0
3007,460000,280000,0
3008,460000,290000,0
3009,460000,300000,0
3010,460000,310000,0
