,x_location,y_location,predicted_rank
1512,300000,240000,0
1513,300000,250000,0
1514,300000,260000,0
1515,300000,270000,0
1537,300000,490000,0
1538,300000,500000,0
1539,300000,510000,0
1540,300000,520000,0
1541,300000,530000,0
1542,300000,540000,0
1543,300000,550000,0
1544,300000,560000,0
1545,300000,570000,0
1546,300000,580000,0
1547,300000,590000,0
1548,300000,600000,0
1549,300000,610000,0
1550,300000,620000,0
1551,300000,630000,0
1552,300000,640000,0
1553,300000,650000,0
1554,300000,660000,0
1555,300000,670000,0
1556,300000,680000,0
1557,300000,690000,0
1558,300000,700000,0
1559,300000,710000,0
1560,300000,720000,0
1561,300000,730000,0
1573,310000,140000,0
1574,310000,150000,0
1575,310000,160000,0
1576,310000,170000,0
1579,310000,200000,0
1580,310000,210000,0
1581,310000,220000,0
1584,310000,250000,0
1585,310000,260000,0
1586,310000,270000,0
1587,310000,280000,0
1591,310000,320000,0
1592,310000,330000,0
1595,310000,360000,0
1602,310000,430000,0
1603,310000,440000,0
1607,310000,480000,0
1608,310000,490000,0
1612,310000,530000,0
1613,310000,540000,0
1614,310000,550000,0
1615,310000,560000,0
1616,310000,570000,0
1617,310000,580000,0
1618,310000,590000,0
1619,310000,600000,0
1620,310000,610000,0
1621,310000,620000,0
1622,310000,630000,0
1623,310000,640000,0
1624,310000,650000,0
1625,310000,660000,0
1626,310000,670000,0
1627,310000,680000,0
1628,310000,690000,0
1629,310000,700000,0
1630,310000,710000,0
1631,310000,720000,0
1632,310000,730000,0
1644,320000,140000,0
1645,320000,150000,0
1646,320000,160000,0
1650,320000,200000,0
1651,320000,210000,0
1656,320000,260000,0
1657,320000,270000,0
1658,320000,280000,0
1662,320000,320000,0
1663,320000,330000,0
1664,320000,340000,0
1665,320000,350000,0
1666,320000,360000,0
1667,320000,370000,0
1668,320000,380000,0
1669,320000,390000,0
1670,320000,400000,0
1671,320000,410000,0
1672,320000,420000,0
1673,320000,430000,0
1674,320000,440000,0
